country_code,region,year,value,indicator_code,indicator_name
HTI,Americas,2002,571.0,MDG_0000000020,Tuberculosis Incidence
CMR,Africa,2010,271.0,MDG_0000000020,Tuberculosis Incidence
NLD,Europe,2007,6.5,MDG_0000000020,Tuberculosis Incidence
GRC,Europe,2017,5.2,MDG_0000000020,Tuberculosis Incidence
VUT,Western Pacific,2021,48.0,MDG_0000000020,Tuberculosis Incidence
JPN,Western Pacific,2018,15.0,MDG_0000000020,Tuberculosis Incidence
URY,Americas,2006,25.0,MDG_0000000020,Tuberculosis Incidence
PNG,Western Pacific,2001,972.0,MDG_0000000020,Tuberculosis Incidence
PHL,Western Pacific,2011,535.0,MDG_0000000020,Tuberculosis Incidence
VNM,Western Pacific,2022,178.0,MDG_0000000020,Tuberculosis Incidence
MRT,Africa,2022,75.0,MDG_0000000020,Tuberculosis Incidence
BHS,Americas,2022,16.0,MDG_0000000020,Tuberculosis Incidence
LVA,Europe,2005,125.0,MDG_0000000020,Tuberculosis Incidence
KHM,Western Pacific,2021,279.0,MDG_0000000020,Tuberculosis Incidence
VEN,Americas,2019,48.0,MDG_0000000020,Tuberculosis Incidence
SLB,Western Pacific,2003,249.0,MDG_0000000020,Tuberculosis Incidence
MNG,Western Pacific,2003,428.0,MDG_0000000020,Tuberculosis Incidence
NGA,Africa,2000,219.0,MDG_0000000020,Tuberculosis Incidence
IND,South-East Asia,2024,187.0,MDG_0000000020,Tuberculosis Incidence
ATG,Americas,2020,2.2,MDG_0000000020,Tuberculosis Incidence
ISL,Europe,2008,1.9,MDG_0000000020,Tuberculosis Incidence
NER,Africa,2002,103.0,MDG_0000000020,Tuberculosis Incidence
FRA,Europe,2003,12.0,MDG_0000000020,Tuberculosis Incidence
SYC,Africa,2013,24.0,MDG_0000000020,Tuberculosis Incidence
TKM,Europe,2021,35.0,MDG_0000000020,Tuberculosis Incidence
TTO,Americas,2000,34.0,MDG_0000000020,Tuberculosis Incidence
FRA,Europe,2005,9.8,MDG_0000000020,Tuberculosis Incidence
SWZ,Africa,2012,1110.0,MDG_0000000020,Tuberculosis Incidence
SUR,Americas,2023,31.0,MDG_0000000020,Tuberculosis Incidence
ROU,Europe,2000,189.0,MDG_0000000020,Tuberculosis Incidence
NOR,Europe,2000,7.0,MDG_0000000020,Tuberculosis Incidence
SOM,Eastern Mediterranean,2015,187.0,MDG_0000000020,Tuberculosis Incidence
PRY,Americas,2024,81.0,MDG_0000000020,Tuberculosis Incidence
FJI,Western Pacific,2006,27.0,MDG_0000000020,Tuberculosis Incidence
CAF,Africa,2018,473.0,MDG_0000000020,Tuberculosis Incidence
EGY,Eastern Mediterranean,2002,20.0,MDG_0000000020,Tuberculosis Incidence
BEN,Africa,2009,81.0,MDG_0000000020,Tuberculosis Incidence
SOM,Eastern Mediterranean,2001,354.0,MDG_0000000020,Tuberculosis Incidence
NER,Africa,2006,127.0,MDG_0000000020,Tuberculosis Incidence
CIV,Africa,2007,218.0,MDG_0000000020,Tuberculosis Incidence
ARG,Americas,2015,28.0,MDG_0000000020,Tuberculosis Incidence
PAN,Americas,2008,71.0,MDG_0000000020,Tuberculosis Incidence
GAB,Africa,2009,445.0,MDG_0000000020,Tuberculosis Incidence
TCD,Africa,2010,162.0,MDG_0000000020,Tuberculosis Incidence
HRV,Europe,2015,15.0,MDG_0000000020,Tuberculosis Incidence
SMR,Europe,2016,0.0,MDG_0000000020,Tuberculosis Incidence
IRQ,Eastern Mediterranean,2004,58.0,MDG_0000000020,Tuberculosis Incidence
MDV,South-East Asia,2019,48.0,MDG_0000000020,Tuberculosis Incidence
MLT,Europe,2000,4.0,MDG_0000000020,Tuberculosis Incidence
MHL,Western Pacific,2011,498.0,MDG_0000000020,Tuberculosis Incidence
SVN,Europe,2001,26.0,MDG_0000000020,Tuberculosis Incidence
PHL,Western Pacific,2014,546.0,MDG_0000000020,Tuberculosis Incidence
GAB,Africa,2001,336.0,MDG_0000000020,Tuberculosis Incidence
GTM,Americas,2016,22.0,MDG_0000000020,Tuberculosis Incidence
MKD,Europe,2016,18.0,MDG_0000000020,Tuberculosis Incidence
GIN,Africa,2017,178.0,MDG_0000000020,Tuberculosis Incidence
LVA,Europe,2008,86.0,MDG_0000000020,Tuberculosis Incidence
BRA,Americas,2008,44.0,MDG_0000000020,Tuberculosis Incidence
MHL,Western Pacific,2009,541.0,MDG_0000000020,Tuberculosis Incidence
THA,South-East Asia,2001,245.0,MDG_0000000020,Tuberculosis Incidence
NOR,Europe,2016,6.1,MDG_0000000020,Tuberculosis Incidence
ECU,Americas,2017,44.0,MDG_0000000020,Tuberculosis Incidence
NGA,Africa,2019,219.0,MDG_0000000020,Tuberculosis Incidence
TGO,Africa,2001,61.0,MDG_0000000020,Tuberculosis Incidence
AUS,Western Pacific,2022,5.6,MDG_0000000020,Tuberculosis Incidence
SAU,Eastern Mediterranean,2016,10.0,MDG_0000000020,Tuberculosis Incidence
VNM,Western Pacific,2001,290.0,MDG_0000000020,Tuberculosis Incidence
BLZ,Americas,2004,61.0,MDG_0000000020,Tuberculosis Incidence
AUT,Europe,2014,7.9,MDG_0000000020,Tuberculosis Incidence
DOM,Americas,2024,51.0,MDG_0000000020,Tuberculosis Incidence
KIR,Western Pacific,2002,888.0,MDG_0000000020,Tuberculosis Incidence
GNB,Africa,2009,276.0,MDG_0000000020,Tuberculosis Incidence
TUN,Eastern Mediterranean,2005,38.0,MDG_0000000020,Tuberculosis Incidence
HND,Americas,2023,38.0,MDG_0000000020,Tuberculosis Incidence
